Galaxy,M_bar_10e9,R_max_kpc,alpha_Das,Sigma,alpha_predicted,residual,percent_error,Regime
CamB,0.02,1.0,1.35,20.0,1.3633782475806224,-0.013378247580622338,0.9909813022683213,Active
D631-7,0.22,3.51,1.38,17.856997913977974,1.383574070585277,-0.003574070585277145,0.25899062212153223,Active
DDO064,0.29,3.61,1.32,22.25274514468121,1.344359157126532,-0.024359157126532027,1.8453906914039413,Active
DDO154,0.48,8.24,1.6,7.069469318503158,1.5486894816057823,0.05131051839421774,3.2069073996386086,Enhanced
DDO161,1.62,7.14,1.28,31.777416849092585,1.2808706901555915,-0.0008706901555914914,0.06802266840558527,Active
DDO168,0.6,5.56,1.34,19.40893328502666,1.368723829489624,-0.02872382948962393,2.143569364897308,Active
ESO564-G057,0.65,3.55,1.15,51.57706804205515,1.1945680358543758,-0.044568035854375854,3.875481378641379,Active
F563-V2,1.65,13.97,1.55,8.45456236367018,1.516807049538961,0.033192950461039095,2.141480674905748,Enhanced
F568-3,4.1,21.6,1.55,8.787722908093277,1.5099199970858856,0.0400800029141144,2.5858066396202837,Enhanced
F571-8,5.12,15.68,1.3,20.824656393169516,1.3561782861659069,-0.05617828616590681,4.321406628146677,Active
F583-1,1.3,14.5,1.62,6.183115338882283,1.5725607789117442,0.047439221088255934,2.928346980756539,Enhanced
IC2574,1.5,12.5,1.5,9.6,1.494166405254553,0.0058335947454470904,0.3889063163631394,Enhanced
NGC0055,5.14,18.23,1.4,15.466419364438488,1.4091847307918663,-0.009184730791866436,0.6560521994190311,Active
NGC0100,3.25,13.62,1.32,17.519800069432318,1.3869711055562388,-0.06697110555623875,5.07356860274536,Active
NGC0247,5.34,13.69,1.3,28.492749555667842,1.3003126534870995,-0.00031265348709941243,0.02405026823841634,Active
NGC0289,145.0,55.45,1.22,47.15903408541151,1.2105254959524316,0.009474504047568333,0.7765986924236339,Active
NGC0801,255.0,56.4,1.08,80.16447864795533,1.1159843326253345,-0.0359843326253344,3.331882650493926,Active
NGC2403,17.97,20.87,1.35,41.25752571018849,1.2343484824225512,0.11565151757744885,8.566779079811026,Active
NGC2841,269.62,63.64,1.1,66.57202420434555,1.1490918896654114,-0.04909188966541134,4.46289906049194,Active
NGC2903,97.5,27.96,1.08,124.71832845204983,1.0372270758615418,0.042772924138458235,3.9604559387461324,Transitional
NGC3198,47.12,35.82,1.25,36.72435008344034,1.255088989772218,-0.0050889897722179445,0.40711918177743556,Active
NGC3741,0.19,7.22,1.65,3.644846187490888,1.666737210588146,-0.016737210588146034,1.014376399281578,Enhanced
NGC3992,120.0,32.5,1.05,113.6094674556213,1.0538508738444086,-0.00385087384440852,0.36674988994366853,Transitional
NGC4013,25.8,22.37,1.13,51.55701176359152,1.1946373415225833,-0.06463734152258338,5.720118718812689,Active
NGC5033,135.0,55.4,1.2,43.98597661900976,1.2229374790723377,-0.022937479072337785,1.911456589361482,Active
NGC5055,125.4,53.6,1.18,43.64836266429049,1.2243104736370887,-0.04431047363708873,3.7551248844990455,Active
NGC6503,16.55,23.5,1.3,29.968311453146224,1.2913155319832383,0.008684468016761704,0.6680360012893618,Active
NGC7331,288.33,36.31,1.05,218.69423469570796,0.9371509123397626,0.11284908766023749,10.747532158117856,Transitional
UGC04325,1.1,12.0,1.54,7.638888888888889,1.534885451461534,0.005114548538466046,0.33211354145883415,Enhanced
UGC12506,12.0,47.8,1.62,5.252008893401727,1.6016439400613431,0.018356059938656966,1.133090119670183,Enhanced
